ID,DataName,Value,Key,English,es,ar,fr,hi,ko,tl,vi,zh,
9,Correct_Answer_1,life,Correct_Answer_1,life,la vida,______,la vie,____,__,buhay,quy_n s_ng,__,
9,Correct_Rationale_1,Life is one of the three unalienable rights listed in the Declaration of Independence.,Correct_Rationale_1,Life is one of the three unalienable rights listed in the Declaration of Independence.,La vida es uno de los tres derechos inalienables mencionados en la Declaración de Independencia.,______ __ ___ ______ _______ ___ _______ ______ ________ __ _____ _________.,La vie est l'un des trois droits inaliénables énoncés dans la Déclaration d'indépendance.,____ __________ __ _____ ___ ________ ___ __________ ________ ___ __ __ ___,___ __ ____ ___ _ __ ___ _ __ __ _ _____.,Ang buhay ay isa sa tatlong hindi maaalis na karapatan na nakasaad sa Deklarasyon ng Kalayaan.,Quy_n s_ng là m_t trong ba quy_n b_t kh_ xâm ph_m ___c nêu trong Tuyên ngôn __c l_p.,_________________________,
9,Correct_Answer_2,liberty,Correct_Answer_2,liberty,la libertad,______,la liberté,__________,__,kalayaan,t_ do,__,
9,Correct_Rationale_2,Liberty is one of the three unalienable rights listed in the Declaration of Independence.,Correct_Rationale_2,Liberty is one of the three unalienable rights listed in the Declaration of Independence.,La libertad es uno de los tres derechos inalienables mencionados en la Declaración de Independencia.,______ __ ___ ______ _______ ___ _______ ______ ________ __ _____ _________.,La liberté est l'un des trois droits inaliénables énoncés dans la Déclaration d'indépendance.,__________ __________ __ _____ ___ ________ ___ __________ ________ ___ __ __ ___,___ __ ____ ___ _ __ ___ _ __ __ _ _____.,Ang kalayaan ay isa sa tatlong hindi maaalis na karapatan na nakasaad sa Deklarasyon ng Kalayaan.,T_ do là m_t trong ba quy_n b_t kh_ xâm ph_m ___c nêu trong Tuyên ngôn __c l_p.,_________________________,
9,Correct_Answer_3,pursuit of happiness,Correct_Answer_3,pursuit of happiness,la búsqueda de la felicidad,_____ ____ _______,la poursuite du bonheur,_______ __ ____,__ __,paghahangad ng kaligayahan,quy_n m_u c_u h_nh phúc,____,
9,Correct_Rationale_3,The pursuit of happiness is one of the three unalienable rights listed in the Declaration of Independence.,Correct_Rationale_3,The pursuit of happiness is one of the three unalienable rights listed in the Declaration of Independence.,La búsqueda de la felicidad es uno de los tres derechos inalienables mencionados en la Declaración de Independencia.,_____ ____ _______ __ ___ ______ _______ ___ _______ ______ ________ __ _____ _________.,La poursuite du bonheur est l'un des trois droits inaliénables énoncés dans la Déclaration d'indépendance.,_______ __ ____ __________ __ _____ ___ ________ ___ __________ ________ ___ __ __ ___,__ ___ __ ____ ___ _ __ ___ _ __ __ _ _____.,Ang paghahangad ng kaligayahan ay isa sa tatlong hindi maaalis na karapatan na nakasaad sa Deklarasyon ng Kalayaan.,Quy_n m_u c_u h_nh phúc là m_t trong ba quy_n b_t kh_ xâm ph_m ___c nêu trong Tuyên ngôn __c l_p.,___________________________,
9,Wrong_Answer_1,freedom of speech and religion,Wrong_Answer_1,freedom of speech and religion,la libertad de expresión y de religión,____ _______ ______,la liberté d'expression et de religion,____ __ ____ __ __________,___ ___ __,kalayaan sa pananalita at relihiyon,t_ do ngôn lu_n và tôn giáo,_______,
9,Wrong_Rationale_1,Freedom of speech and religion are rights listed in the Bill of Rights (the First Amendment).,Wrong_Rationale_1,Freedom of speech and religion are rights listed in the Bill of Rights (the First Amendment).,La libertad de expresión y de religión son derechos mencionados en la Carta de Derechos (la Primera Enmienda).,____ _______ ______ __ ____ ______ __ _____ ______ (_______ _____).,La liberté d'expression et de religion sont des droits énoncés dans la Déclaration des droits (le Premier Amendement).,____ __ ____ __ __________ ________ __ ______ (____ ______) ___ ________ ______ ____,___ ___ ___ __ __(_ __ ____)_ ___ _____.,Ang kalayaan sa pananalita at relihiyon ay mga karapatang nakasaad sa Bill of Rights (Unang Susog).,T_ do ngôn lu_n và tôn giáo là nh_ng quy_n ___c li_t kê trong Tuyên ngôn Nhân quy_n (Tu chính án th_ nh_t).,____________________________,
9,Wrong_Answer_2,the right to vote and run for office,Wrong_Answer_2,the right to vote and run for office,el derecho a votar y postularse para un cargo,____ __ _______ _______ _______,le droit de voter et de se présenter à une élection,___ ____ __ __ __ ___ _____ _____ __ ______,____ __ ___,ang karapatang bumoto at tumakbo sa halalan,quy_n b_u c_ và _ng c_,__________,
9,Wrong_Rationale_2,"These are important rights for U.S. citizens, but they are defined by the Constitution, not the Declaration of Independence.",Wrong_Rationale_2,"These are important rights for U.S. citizens, but they are defined by the Constitution, not the Declaration of Independence.","Estos son derechos importantes para los ciudadanos estadounidenses, pero están definidos por la Constitución, no por la Declaración de Independencia.","___ ____ ____ _________ ___________ _____ _____ ________ ____ ______ _________.","Ce sont des droits importants pour les citoyens américains, mais ils sont définis par la Constitution, pas par la Déclaration d'indépendance.","__ _______ ________ __ ___ __________ ______ ___, _____ ______ _______ ______ ________ ____ ___ __, _ __ __________ __ _____ _______","____ __ _____ ___ _____, __ ____ ___ ____ ___ ____.","Ito ay mahahalagang karapatan para sa mga mamamayan ng U.S., ngunit tinutukoy ang mga ito ng Konstitusyon, hindi ng Deklarasyon ng Kalayaan.","_ây là nh_ng quy_n quan tr_ng __i v_i công dân Hoa K_, nh_ng ___c quy __nh trong Hi_n pháp, không ph_i Tuyên ngôn __c l_p.",________________________________,
9,Wrong_Answer_3,the right to own property and education,Wrong_Answer_3,the right to own property and education,el derecho a poseer propiedades y a la educación,____ __ ______ _________ ________,le droit de posséder des biens et à l'éducation,_______ ____ __ ______ ____ __ ______,__ ____ ___,ang karapatan sa pagmamay-ari ng ari-arian at edukasyon,quy_n s_ h_u tài s_n và ___c giáo d_c,___________,
9,Wrong_Rationale_3,"These are important rights, but they are not the three core unalienable rights mentioned in the Declaration.",Wrong_Rationale_3,"These are important rights, but they are not the three core unalienable rights mentioned in the Declaration.","Estos son derechos importantes, pero no son los tres derechos inalienables fundamentales mencionados en la Declaración.","___ ____ _____ _____ ____ ______ ________ _______ ___ _______ ______ ________ __ _______.","Ce sont des droits importants, mais ce ne sont pas les trois droits inaliénables fondamentaux mentionnés dans la Déclaration.","__ __________ ______ ___, _____ __ _____ ___ ________ ___ _____ __________ ______ ____ ____","____ ___ _____, ____ ___ _ __ __ ___ _ __ ___ ____.","Ito ay mahahalagang karapatan, ngunit hindi ito ang tatlong pangunahing hindi maaalis na karapatan na binanggit sa Deklarasyon.","_ây là nh_ng quy_n quan tr_ng, nh_ng không ph_i là ba quy_n b_t kh_ xâm ph_m c_t lõi ___c nêu trong Tuyên ngôn.",_________________________________,
10,Question,What is freedom of religion?,Question,What is freedom of religion?,¿Qué es la libertad de religión?,__ __ ____ ______,Qu'est-ce que la liberté de religion ?,_______ __________ ____ __?,___ ___ _____?,Ano ang kalayaan sa relihiyon?,T_ do tôn giáo là gì?,________,
10,Correct_Answer_1,"You can practice any religion, or not practice a religion",Correct_Answer_1,"You can practice any religion, or not practice a religion",Puedes practicar cualquier religión o no practicar ninguna religión,_____ ______ __ ___ __ ___ ______ __ ___,Vous pouvez pratiquer n'importe quelle religion ou ne pratiquer aucune religion,__ ____ __ ____ __ ____ __ ____ ___ __ ___ ____ ____ ____ ____,__ ___ ___ __ __ _ ____,Maaari kang magpraktis ng anumang relihiyon o hindi magpraktis ng relihiyon,B_n có th_ theo b_t k_ tôn giáo nào ho_c không theo tôn giáo nào,__________________,
10,Correct_Rationale_1,"The U.S. does not have a state religion, and the government cannot interfere with an individual's choice.",Correct_Rationale_1,"The U.S. does not have a state religion, and the government cannot interfere with an individual's choice.",Estados Unidos no tiene una religión oficial y el gobierno no puede interferir en la elección de una persona.,"________ _______ ___ _____ ___ _____ ___ ____ _______ ______ __ ______ _____.","Les États-Unis n'ont pas de religion d'État, et le gouvernement ne peut pas interférer avec le choix d'un individu.","_______ ___ ___ _______ ____ __, __ _____ _______ __ ____ ___ _________ ____ __ _____",___ ___ ___ ___ ___ ___ ___ _ ____.,"Walang opisyal na relihiyon ang U.S., at hindi maaaring manghimasok ang gobyerno sa pagpili ng isang tao.",Hoa K_ không có qu_c giáo và chính ph_ không th_ can thi_p vào l_a ch_n c_a cá nhân.,___________________,
10,Wrong_Answer_1,You can only practice Christianity,Wrong_Answer_1,You can only practice Christianity,Solo puedes practicar el cristianismo,_____ ___ ______ _______ ________,Vous ne pouvez pratiquer que le christianisme,__ ____ ____ ____ __ ____ __ ____ ___,____ __ _ ____,Maaari ka lamang magpraktis ng Kristiyanismo,B_n ch_ có th_ theo __o C_ __c,________,
10,Wrong_Rationale_1,"The U.S. does not have an official state religion and guarantees freedom for all religions, or no religion.",Wrong_Rationale_1,"The U.S. does not have an official state religion and guarantees freedom for all religions, or no religion.",Estados Unidos no tiene una religión oficial y garantiza la libertad para todas las religiones o ninguna.,________ _______ ___ _____ ___ ____ _____ ______ _____ _______ __ ____ ______ __ ___.,Les États-Unis n'ont pas de religion officielle et garantissent la liberté pour toutes les religions ou aucune.,_______ ___ ___ _______ ____ __ __ __ ___ ______ __ ____ __ ____ __ _ ______ __ __________ __ ______ ____ ___,___ ___ ___ __ __ __ ____ ___ _____.,Walang opisyal na relihiyon ang U.S. at ginagarantiyahan ang kalayaan para sa lahat ng relihiyon o wala.,Hoa K_ không có qu_c giáo và b_o __m quy_n t_ do cho m_i tôn giáo ho_c không theo tôn giáo nào.,________________________,
10,Wrong_Answer_2,You must practice a religion approved by the government,Wrong_Answer_2,You must practice a religion approved by the government,Debes practicar una religión aprobada por el gobierno,___ __ _____ _____ _____ ____ _______,Vous devez pratiquer une religion approuvée par le gouvernement,____ _____ ______ ________ ____ __ ____ ____ _____,___ ___ ___ ___ ___,Dapat kang magpraktis ng relihiyon na aprubado ng gobyerno,B_n ph_i theo m_t tôn giáo ___c chính ph_ phê duy_t,____________,
10,Wrong_Rationale_2,This is incorrect; government approval is not needed and would violate the principle of religious freedom.,Wrong_Rationale_2,This is incorrect; government approval is not needed and would violate the principle of religious freedom.,Esto es incorrecto; la aprobación del gobierno no es necesaria y violaría el principio de libertad religiosa.,"___ ___ _____ __ ____ ______ ___ ______ ________ ______ ___ ___ ______ ____ ____ _____.",C'est incorrect ; l'approbation du gouvernement n'est pas nécessaire et violerait le principe de la liberté religieuse.,__ ___ __; _____ __ ________ ______ ____ __ __ __ _______ __________ __ ________ __ _______ _____,"___ ___ ____. ___ ___ ____ ___, __ ___ __ ___ ____ ____.",Mali ito; hindi kailangan ang aprubal ng gobyerno at lalabag ito sa prinsipyo ng kalayaan sa relihiyon.,_i_u này không _úng; không c_n s_ ch_p thu_n c_a chính ph_ và _i_u _ó s_ vi ph_m nguyên t_c t_ do tôn giáo.,___________________________,
10,Wrong_Answer_3,You must pay a tax on your religious activities,Wrong_Answer_3,You must pay a tax on your religious activities,Debes pagar un impuesto por tus actividades religiosas,___ __ ____ _____ ___ ______ _______,Vous devez payer une taxe sur vos activités religieuses,____ ____ _______ __________ __ __ ______ ____,__ ___ ___ __ ___,Dapat kang magbayad ng buwis sa iyong mga gawaing panrelihiyon,B_n ph_i n_p thu_ cho các ho_t __ng tôn giáo c_a mình,____________,
10,Wrong_Rationale_3,"Religious activities are generally tax-exempt, as taxing them could suppress religious freedom.",Wrong_Rationale_3,"Religious activities are generally tax-exempt, as taxing them could suppress religious freedom.","Las actividades religiosas generalmente están exentas de impuestos, ya que gravarlas podría suprimir la libertad religiosa.","_______ _______ _____ ______ __ ________ ___ ___ _______ _____ __ ____ ____ _____.","Les activités religieuses sont généralement exonérées d'impôt, car les taxer pourrait restreindre la liberté religieuse.","_______ __________ __ ___ __ __-_____ ____ ___, _______ __ __ __ _____ __ _______ __________ _____ __ ____ ___","__ ___ _____ ____, ____ ___ ___ ___ _ ____.","Karaniwang hindi pinapatawan ng buwis ang mga gawaing panrelihiyon, dahil ang pagbubuwis nito ay maaaring pumigil sa kalayaan sa relihiyon.",Các ho_t __ng tôn giáo th__ng ___c mi_n thu_ vì _ánh thu_ có th_ h_n ch_ t_ do tôn giáo.,_______________________,
11,Question,What is the economic system in the United States?,11 Question,What is the economic system in the United States?,¿Cuál es el sistema económico en los Estados Unidos?,__ __ ______ _________ __ ________ ________,Quel est le système économique aux États-Unis ?,_______ _____ _______ ___ ______ _______ ____ __?,___ __ ___ _____?,Ano ang sistemang pang-ekonomiya sa Estados Unidos?,H_ th_ng kinh t_ _ Hoa K_ là gì?,___________,
11,Correct_Answer_1,capitalist economy,11 Correct_Answer_1,capitalist economy,economía capitalista,______ _______,économie capitaliste,_________ ____________,____ __,kapitalistang ekonomiya,n_n kinh t_ t_ b_n,______,
11,Correct_Rationale_1,"The U.S. operates under a capitalist economy, based on private property and free markets.",11 Correct_Rationale_1,"The U.S. operates under a capitalist economy, based on private property and free markets.","EE. UU. funciona bajo una economía capitalista, basada en la propiedad privada y los mercados libres.",____ ________ _______ __ __ ______ _______ ____ ___ _______ ______ ________ _____.,"Les États-Unis fonctionnent sous une économie capitaliste, fondée sur la propriété privée et les marchés libres.","_______ __ _________ ____________ __ ___ _______ ____ __, __ ____ _______ __ _____ _______ __ ______ ___",___ __ ___ __ ___ ____ _ ____ __ ___ _____.,Gumagana ang U.S. sa ilalim ng isang kapitalistang ekonomiya na nakabatay sa pribadong pag-aari at malayang pamilihan.,"Hoa K_ ho_t __ng theo n_n kinh t_ t_ b_n, d_a trên quy_n s_ h_u t_ nhân và th_ tr__ng t_ do.",_________________________,
11,Correct_Answer_2,market economy,11 Correct_Answer_2,market economy,economía de mercado,______ _____,économie de marché,_____ ____________,__ __,pamilihang ekonomiya,n_n kinh t_ th_ tr__ng,____,
11,Correct_Rationale_2,"A market economy, where prices are determined by supply and demand, also describes the U.S. economic system.",11 Correct_Rationale_2,"A market economy, where prices are determined by supply and demand, also describes the U.S. economic system.","Una economía de mercado, donde los precios se determinan por la oferta y la demanda, también describe el sistema económico de EE. UU.","________ _______ ___ ____ _______ __ ____ _____ _______ ___ _____ ______ _________ ________.","Une économie de marché, où les prix sont déterminés par l'offre et la demande, décrit également le système économique des États-Unis.","__ _____ ____________, ______ ______ _______ __ ____ ______ __ __ ____ ___, _______ __ ______ _______ __ __ _____ ____ ___","__ ___ ___ ___ ___ __ ____, ___ __ ___ ____ _ __ _____.","Ang ekonomiyang pamilihan, kung saan ang mga presyo ay tinutukoy ng suplay at demand, ay inilalarawan din ang sistemang pang-ekonomiya ng U.S.","N_n kinh t_ th_ tr__ng, n_i giá c_ ___c quy_t __nh b_i cung và c_u, c_ng mô t_ h_ th_ng kinh t_ Hoa K_.",__________________________,
11,Wrong_Answer_1,"socialist economy, communist economy",11 Wrong_Answer_1,"socialist economy, communist economy","economía socialista, economía comunista","______ ________ ______ _____","économie socialiste, économie communiste","________ ____________, _________ ____________","____ __, ____ __","sosyalistang ekonomiya, komunistang ekonomiya","n_n kinh t_ xã h_i ch_ ngh_a, n_n kinh t_ c_ng s_n",_____________,
11,Wrong_Rationale_1,"A socialist economy involves state or community ownership of the means of production, which differs from the U.S. private ownership model. A communist economy features shared property and complete state control over production and distribution, which is opposite to the U.S. free market system.",11 Wrong_Rationale_1,"A socialist economy involves state or community ownership of the means of production, which differs from the U.S. private ownership model. A communist economy features shared property and complete state control over production and distribution, which is opposite to the U.S. free market system.","Una economía socialista implica la propiedad estatal o comunitaria de los medios de producción, lo que difiere del modelo estadounidense de propiedad privada. Una economía comunista presenta propiedad compartida y control estatal completo sobre la producción y distribución, lo cual es opuesto al sistema de libre mercado de EE. UU.","________ _________ _____ _____ ______ __ _______ ______ ________ ___ _____ __ _____ _______ ______ __ ________ _______. ________ _______ _____ ________ ________ ________ _______ ______ ___ _______ _________ ___ ___ ____ _____ _____ ________.","Une économie socialiste implique la propriété étatique ou communautaire des moyens de production, ce qui diffère du modèle américain de propriété privée. Une économie communiste se caractérise par la propriété partagée et le contrôle total de l'État sur la production et la distribution, ce qui est l'opposé du système de libre marché américain.","________ ____________ ___ _______ __ ______ __ _____ __ ______ _________ _____ ____ __, __ _______ ____ _________ ____ __ _____ ___ _________ ____________ ___ _______ __ ____ _________ __ _______ ___ _____ __ _____ _____ ________ ____ __, __ _______ _____ _____ _______ __ ______ ___","____ ___ __ ___ __ __ ___ ___ ____, __ ___ __ __ ___ ____. ____ ___ ___ __ ___ __·___ __ ___ ___ ___ ____ __, __ ___ __ __ ___ _____.","Ang sosyalistang ekonomiya ay may kasamang pagmamay-ari ng estado o komunidad ng mga paraan ng produksyon, na naiiba sa modelong pribadong pag-aari ng U.S. Ang komunistang ekonomiya ay may pinagsasaluhang pag-aari at ganap na kontrol ng estado sa produksyon at distribusyon, na kabaligtaran ng sistemang malayang pamilihan ng U.S.","N_n kinh t_ xã h_i ch_ ngh_a liên quan __n quy_n s_ h_u nhà n__c ho_c c_ng __ng __i v_i các ph__ng ti_n s_n xu_t, khác v_i mô hình s_ h_u t_ nhân c_a Hoa K_. N_n kinh t_ c_ng s_n có __c _i_m là s_ h_u chung và nhà n__c ki_m soát hoàn toàn vi_c s_n xu_t và phân ph_i, _i_u này trái ng__c v_i h_ th_ng th_ tr__ng t_ do c_a Hoa K_.",________________________________________________________________________________,
11,Wrong_Answer_2,"mercantilist economy, feudal economy",11 Wrong_Answer_2,"mercantilist economy, feudal economy","economía mercantilista, economía feudal","______ ______ ______ ______","économie mercantiliste, économie féodale","____________ ____________, ______ ____________","____ __, __ __","merkantilistang ekonomiya, pyudal na ekonomiya","n_n kinh t_ tr_ng th__ng, n_n kinh t_ phong ki_n",___________,
11,Wrong_Rationale_2,"Mercantilism was a 16th-18th century European policy where the state controlled trade to accumulate wealth, unlike the U.S. free trade approach. A feudal economy was based on land ownership and agricultural labor obligations, which is fundamentally different from modern capitalist systems.",11 Wrong_Rationale_2,"Mercantilism was a 16th-18th century European policy where the state controlled trade to accumulate wealth, unlike the U.S. free trade approach. A feudal economy was based on land ownership and agricultural labor obligations, which is fundamentally different from modern capitalist systems.","El mercantilismo fue una política europea de los siglos XVI-XVIII donde el estado controlaba el comercio para acumular riqueza, a diferencia del enfoque de libre comercio de EE. UU. Una economía feudal se basaba en la propiedad de la tierra y las obligaciones de trabajo agrícola, lo cual es fundamentalmente diferente de los sistemas capitalistas modernos.","___ ______ _______ _____ _______ __ _______ ______ ___ ___ ______ ___ ___ ____ ______ _____ __ _______ ______ _______ ___ ___ _____ ________ __ _______ _____. ________ ________ ___ ______ ___ _____ _______ ___________ ______ ________ ___ _____ ______ __ _______ __________ _______.","Le mercantilisme était une politique européenne des XVIe-XVIIIe siècles où l'État contrôlait le commerce pour accumuler des richesses, contrairement à l'approche américaine de libre-échange. Une économie féodale reposait sur la propriété foncière et les obligations de travail agricole, ce qui est fondamentalement différent des systèmes capitalistes modernes.","___________ 16___ __ 18___ _______ __ _______ ____ __ ______ _____ _______ __ _________ ____ _______ _____ ____ __, __ _______ _____ _______ _________ __ _____ ___ ______ ____________ ____ _________ __ ____ ____ _________ __ ______ __, __ ______ _________ __________ __ ___ ___ __ ___ ___","_____ 16~18__ ___ ____, ___ __ ____ __ ___ _____ __ ___ ____ ___ ____. __ ___ __ ___ __ __ ___ ____, __ __ ____ ___ _____ ____.","Ang merkantilismo ay isang patakarang Europeo noong ika-16 hanggang ika-18 siglo kung saan kontrolado ng estado ang kalakalan upang mag-ipon ng yaman, na iba sa malayang kalakalan ng U.S. Ang pyudal na ekonomiya ay nakabatay sa pagmamay-ari ng lupa at obligasyong paggawa sa agrikultura, na lubhang naiiba sa modernong sistemang kapitalista.","Ch_ ngh_a tr_ng th__ng là chính sách châu Âu th_ k_ 16–18, n_i nhà n__c ki_m soát th__ng m_i __ tích l_y c_a c_i, khác v_i cách ti_p c_n th__ng m_i t_ do c_a Hoa K_. N_n kinh t_ phong ki_n d_a trên quy_n s_ h_u __t và ngh_a v_ lao __ng nông nghi_p, _i_u này hoàn toàn khác v_i các h_ th_ng t_ b_n hi_n __i.",_____16_18________________________________________________________________________,
11,Wrong_Answer_3,"command economy, planned economy",11 Wrong_Answer_3,"command economy, planned economy","economía dirigida, economía planificada","______ ______ ______ _____","économie dirigée, économie planifiée","_________ ____________, _________ ____________","__ __, __ __","kontroladong ekonomiya, planadong ekonomiya","n_n kinh t_ ch_ huy, n_n kinh t_ k_ ho_ch",_________,
11,Wrong_Rationale_3,"A command economy is controlled entirely by the government, which decides what to produce and distribute, unlike the U.S. market-driven system. A planned economy involves central government planning of all economic activity, which contrasts with the U.S. system where market forces determine economic decisions.",11 Wrong_Rationale_3,"A command economy is controlled entirely by the government, which decides what to produce and distribute, unlike the U.S. market-driven system. A planned economy involves central government planning of all economic activity, which contrasts with the U.S. system where market forces determine economic decisions.","Una economía dirigida está controlada completamente por el gobierno, que decide qué producir y distribuir, a diferencia del sistema impulsado por el mercado de EE. UU. Una economía planificada implica la planificación central de toda la actividad económica por parte del gobierno, lo que contrasta con el sistema estadounidense, donde las fuerzas del mercado determinan las decisiones económicas.","________ _______ _____ __ _______ ________ ___ ____ __ ____ ___ ______ ________ ___ ___ ______ ________ ______ ___ _____. ________ _______ _____ _____ _______ ________ ___ ______ __________ ___ ______ __ ______ ________ ___ ____ ___ _____ ________ __________.","Une économie dirigée est entièrement contrôlée par le gouvernement, qui décide quoi produire et distribuer, contrairement au système américain axé sur le marché. Une économie planifiée implique une planification centrale de toute l'activité économique par le gouvernement, ce qui contraste avec le système américain où les forces du marché déterminent les décisions économiques.","_________ ____________ ____ ___ __ _____ ______ _________ ____ __, __ __ ____ __ __ ____ _______ __ _____ ____ ___, ____ _______ _______ _____-______ ___ _________ ____________ ___ ___ ______ __________ __ ________ ______ _____ _____ ____ __, __ _______ _______ __ ______ __, ____ _____ __ ______ ______ __ ____ ____","__ ___ ___ ___ ___ ____ ____, __ __ ___ __ ___ ____. __ ___ __ __ ___ __ ___ _____, __ ___ __ ___ ___ __ ___ _____.","Ang kontroladong ekonomiya ay ganap na pinamamahalaan ng gobyerno, na nagpapasya kung ano ang ipoprodyus at ipapamahagi, na iba sa sistemang pinapagana ng merkado ng U.S. Ang planadong ekonomiya ay kinabibilangan ng sentralisadong pagpaplano ng gobyerno sa lahat ng gawaing pang-ekonomiya, na salungat sa sistemang U.S. kung saan ang pwersa ng merkado ang nagtatakda ng mga desisyong pang-ekonomiya.","N_n kinh t_ ch_ huy hoàn toàn do chính ph_ ki_m soát, quy_t __nh s_n xu_t và phân ph_i gì, khác v_i h_ th_ng do th_ tr__ng d_n d_t c_a Hoa K_. N_n kinh t_ k_ ho_ch bao g_m vi_c chính ph_ trung __ng l_p k_ ho_ch cho toàn b_ ho_t __ng kinh t_, trái ng__c v_i h_ th_ng Hoa K_, n_i các l_c l__ng th_ tr__ng quy_t __nh các quy_t __nh kinh t_.",_________________________________________________________________________________,
12,Question,What is the 'rule of law'?,Question,What is the 'rule of law'?,"¿Qué es el ""estado de derecho""?","__ __ ""_____ _______""_","Qu'est-ce que ""l'État de droit"" ?",'_____ __ ____' ____ __?,'____'_ _____?,"Ano ang ""rule of law""?","""Nguyên t_c pháp quy_n"" là gì?",___“____”_,
12,Correct_Answer_1,Everyone must follow the law,Correct_Answer_1,Everyone must follow the law,Todos deben obedecer la ley,___ ___ ______ _____ _______,Tout le monde doit obéir à la loi,___ __ _____ __ ____ ____ _____,__ ___ __ ___ ___,Lahat ay dapat sumunod sa batas,M_i ng__i ph_i tuân theo pháp lu_t,________,
12,Correct_Rationale_1,"The rule of law is the principle that all people are subject to and accountable under the law, regardless of status.",Correct_Rationale_1,"The rule of law is the principle that all people are subject to and accountable under the law, regardless of status.","El estado de derecho es el principio de que todas las personas están sujetas y son responsables ante la ley, sin importar su estatus.",_____ _______ __ ______ ____ ____ ___ ____ _______ _______ ________ ______ ___ _____ __ _____.,"L'État de droit est le principe selon lequel toutes les personnes sont soumises à la loi et responsables en vertu de celle-ci, quel que soit leur statut.","_____ __ ____ __ ________ __ __ ___ ___, ______ __ _____ ___ ____, _____ __ ____ __ ____ _____ _________ ____",_____ __ ___ ___ ____ __ ___ __ __ __ ___ ___ _____.,"Ang rule of law ay ang prinsipyo na lahat ng tao ay nasasaklaw at may pananagutan sa ilalim ng batas, anuman ang kanilang katayuan.","Nguyên t_c pháp quy_n là nguyên t_c m_i ng__i __u ch_u s_ qu_n l_ và trách nhi_m tr__c pháp lu_t, b_t k_ __a v_.",___________________________,
12,Correct_Answer_2,Leaders must obey the law,Correct_Answer_2,Leaders must obey the law,Los líderes deben obedecer la ley,___ ___ ______ ________ ________,Les dirigeants doivent obéir à la loi,______ __ _____ __ ____ ____ _____,____ __ ___ ___,Ang mga pinuno ay dapat sumunod sa batas,Các nhà lãnh __o ph_i tuân th_ pháp lu_t,_________,
12,Correct_Rationale_2,"Government leaders, including the President, are also subject to the rule of law.",Correct_Rationale_2,"Government leaders, including the President, are also subject to the rule of law.","Los líderes del gobierno, incluido el presidente, también están sujetos al estado de derecho.","____ ________ ___ ____ _______ ______ _____ ______ _______.","Les dirigeants du gouvernement, y compris le président, sont également soumis à l'État de droit.","______ ____, ______ __________ __ _____ ___, _____ __ ____ __ ____ ____ ____",____ ___ __ _____ _____ ___ ____.,"Ang mga pinuno ng gobyerno, kabilang ang Pangulo, ay nasasaklaw din ng rule of law.","Các nhà lãnh __o chính ph_, bao g_m T_ng th_ng, c_ng ph_i tuân theo pháp quy_n.",______________________,
12,Correct_Answer_3,No one is above the law,Correct_Answer_3,No one is above the law,Nadie está por encima de la ley,__ ___ ___ _______,Nul n'est au-dessus de la loi,___ __ _____ __ ___ ____ __,___ _ __ __ ____,Walang sinuman ang nasa itaas ng batas,Không ai __ng trên pháp lu_t,__________,
12,Correct_Rationale_3,This phrase best summarizes the core principle of the rule of law.,Correct_Rationale_3,This phrase best summarizes the core principle of the rule of law.,Esta frase resume mejor el principio central del estado de derecho.,___ _______ ____ ____ ____ ______ _______ ______ _______.,Cette phrase résume le mieux le principe fondamental de l'État de droit.,__ _____ _____ __ ____ __ _____ ________ __ ____ _____ _____ __ _______ ___ _____ ___,_ ___ _____ __ ___ __ _ ___ ____.,Ang pariralang ito ang pinakamahusay na nagbubuod sa pangunahing prinsipyo ng rule of law.,Câu nói này tóm t_t rõ nh_t nguyên t_c c_t lõi c_a pháp quy_n.,___________________,
12,Correct_Answer_4,Government must obey the law,Correct_Answer_4,Government must obey the law,El gobierno debe obedecer la ley,___ ___ _______ ________ ________,Le gouvernement doit obéir à la loi,_____ __ _____ __ ____ ____ _____,___ __ ___ ___,Dapat sumunod ang gobyerno sa batas,Chính ph_ ph_i tuân th_ pháp lu_t,________,
12,Correct_Rationale_4,The government itself is also bound by the law and cannot act outside its legal authority.,Correct_Rationale_4,The government itself is also bound by the law and cannot act outside its legal authority.,El propio gobierno también está sujeto a la ley y no puede actuar fuera de su autoridad legal.,_______ _____ _____ _____ ________ ___ ______ ______ ____ ______ _________.,Le gouvernement lui-même est également lié par la loi et ne peut pas agir en dehors de son autorité légale.,_____ _____ __ _____ __ ____ __ __ ____ ______ _________ __ ____ _____ ____ __ _____,__ __ __ ___ ___ __ ___ __ ___ _ ____.,Ang gobyerno mismo ay nasasaklaw ng batas at hindi maaaring kumilos lampas sa legal nitong awtoridad.,Chính ph_ c_ng b_ ràng bu_c b_i pháp lu_t và không th_ hành __ng ngoài th_m quy_n h_p pháp.,______________________,
