Index,Category,SubCategory,Question,Answers,rationale,Wrong
48,Gobierno estadounidense,Sistema de Gobierno,¿Cuáles son dos puestos a nivel de gabinete?,"Secretario de Agricultura, Secretario de Comercio, Secretario de Defensa, Secretario de Educación, Secretario de Energía, Secretario de Salud y Servicios Humanos, Secretario de Seguridad Nacional, Secretario de Vivienda y Desarrollo Urbano, Secretario del Interior, Secretario del Trabajo, Secretario de Estado, Secretario de Transporte, Secretario del Tesoro, Secretario de Asuntos de los Veteranos, Procurador General, Vicepresidente, Administrador de la Agencia de Protección Ambiental, Administrador de la Administración de Pequeñas Empresas, Director de la Agencia Central de Inteligencia, Director de la Oficina de Administración y Presupuesto, Director de Inteligencia Nacional, Representante Comercial de Estados Unidos","El Gabinete de los Estados Unidos está compuesto por los funcionarios designados de mayor rango del poder ejecutivo del gobierno federal. El papel del Gabinete es asesorar al Presidente sobre cualquier tema que pueda requerir en relación con los deberes de sus respectivas oficinas. Estos puestos a menudo se denominan ""a nivel de gabinete"" porque sus titulares se consideran parte del círculo íntimo de asesores del Presidente.","Jefe de Gabinete, Secretario de Prensa, Embajador ante las Naciones Unidas
Presidente de la Reserva Federal, Juez de la Corte Suprema, Presidente de la Cámara de Representantes
Director del FBI, Comisionado del IRS, Director General de Correos"
49,Gobierno estadounidense,Sistema de Gobierno,¿Por qué es importante el Colegio electoral?,"Decide quién es elegido presidente., Proporciona un compromiso entre la elección popular del presidente y la selección del congreso.","El Colegio Electoral es un sistema establecido por la Constitución de los Estados Unidos para la elección indirecta del presidente y vicepresidente. A cada estado se le asigna un número de votos electorales en función de su número total de representantes en el Congreso (Cámara + Senado). Cuando los ciudadanos votan en una elección presidencial, técnicamente votan por una lista de electores que se han comprometido a apoyar a un candidato en particular.

El Colegio Electoral es importante por dos razones principales:1.  Determina quién se convierte en presidente, ya que un candidato debe ganar la mayoría de los votos electorales (270 de 538) para ser elegido.
2.  Representa un compromiso al equilibrar la voluntad del voto popular con la representación de los estados, particularmente aquellos con poblaciones más pequeñas. Esto asegura que los candidatos necesiten un amplio apoyo en diferentes regiones y no solo en áreas densamente pobladas.","Permite a los estados votar sobre las enmiendas.
Asegura que los estados más pequeños tengan menos poder que los estados más grandes. Determina el número de representantes que obtiene cada estado.
Es responsable de aprobar los nombramientos presidenciales. Es un órgano consultivo de la Corte Suprema. Se estableció para limitar el poder del gobierno federal."
50,Gobierno estadounidense,Sistema de Gobierno,¿Cuál es una parte del poder judicial?,"El Tribunal supremo, El Tribunal federal","La rama judicial es responsable de interpretar las leyes de los Estados Unidos y resolver disputas legales. Está compuesta por la Corte Suprema, que es el tribunal más alto del país, y los tribunales federales, que manejan casos que involucran leyes federales.","Rama Legislativa, Poder Ejecutivo
Gabinete del Presidente, Gobernadores Estatales
Cámara de Representantes, Senado"
51,Gobierno estadounidense,Sistema de Gobierno,¿Qué hace la rama judicial?,"Revisa las leyes, Explica las leyes, Resuelve disputas (desacuerdos) Sobre la ley, Decide si una ley va en contra de la Constitución","La Rama Judicial es responsable de interpretar las leyes de los Estados Unidos y de resolver disputas legales. Asegura que las leyes se apliquen de manera justa y que cumplan con la Constitución de los EE. UU. Sus funciones principales incluyen: revisar leyes, explicar el significado de las leyes, resolver desacuerdos sobre leyes y decidir si una ley viola la Constitución.","Hace cumplir las leyes, Crea leyes, Nombra jueces (a la Corte Suprema), Declara la guerra
Elige al Presidente, Recauda impuestos, Gestiona el ejército (y la defensa), Firma tratados
Negocia con otros países, Imprime dinero, Proporciona educación pública, Regula el comercio"
52,Gobierno estadounidense,Sistema de Gobierno,¿Cuál es el tribunal más alto de los Estados Unidos? *,La Corte Suprema,"La Corte Suprema es el tribunal más alto de los Estados Unidos y el árbitro final de la ley. Fue establecida por la Ley Judicial de 1789 con seis jueces, y actualmente consta de un Presidente del Tribunal Supremo y ocho jueces asociados. Estos jueces son nombrados por el Presidente, confirmados por el Senado y suelen ocupar el cargo de por vida. El Tribunal tiene el poder de revisión judicial, lo que le permite interpretar la Constitución y revisar los actos del Congreso.","District Court: Tribunal de Distrito
Circuit Court: Tribunal de Circuito
Appeals Court: Tribunal de Apelaciones"
53,Gobierno estadounidense,Sistema de Gobierno,¿Cuántos escaños hay en la Suprema Corte?,Nueve (9),"La Corte Suprema de los Estados Unidos está compuesta por un Presidente de la Corte y ocho Jueces Asociados, lo que suma un total de nueve miembros. Este número ha sido establecido desde 1869. Los jueces son nominados por el Presidente y confirmados por el Senado.","Siete (7)
Ocho (8)
Diez (10)"
54,Gobierno estadounidense,Sistema de Gobierno,¿Cuántos jueces de la Corte suprema se necesitan normalmente para decidir un caso?,Cinco (5),"El Tribunal Supremo decide los casos por mayoría de votos, y se requiere un quórum de seis jueces para decidir un caso. Por lo tanto, si al menos cinco de los nueve jueces están de acuerdo, su opinión prevalece.","Dos (2)
Cuatro (4)
Seis (6)"
55,Gobierno estadounidense,Sistema de Gobierno,¿Cuánto tiempo sirven los jueces del Tribunal supremo?,"(De por) vida, Nombramiento vitalicio, (Hasta) la jubilación","Los jueces del Tribunal Supremo de los Estados Unidos ocupan sus cargos de por vida, o hasta que deciden jubilarse, renunciar o son destituidos mediante el proceso de juicio político. Esta permanencia vitalicia está diseñada para garantizar su independencia de la presión política, permitiéndoles tomar decisiones basadas únicamente en la ley sin temor a perder sus puestos de trabajo.","(Por) 2 años, mandato de 2 años, (Hasta la) próxima elección
(Por) 4 años, mandato de 4 años, (Hasta el) nuevo presidente
(Por) 6 años, mandato de 6 años, (Hasta la) reelección"
56,Gobierno estadounidense,Sistema de Gobierno,Los jueces de la Corte suprema sirven de por vida. ¿Por qué?,"Para ser independiente (de los políticos), Para limitar la influencia (política) exterior","A los jueces de la Corte Suprema se les otorga un cargo vitalicio para asegurar que sus decisiones se basen únicamente en principios legales, libres de presión política o de la necesidad de hacer campaña para la reelección. Esta independencia ayuda a mantener un poder judicial imparcial.","Ser dependiente (de la política), Para aumentar la influencia (política) externa
Seguir a los partidos (políticos), Ignorar la opinión pública (política)
Servir por un (corto) término, Ser influenciado (por la política)"
57,Gobierno estadounidense,Sistema de Gobierno,¿Quién es el presidente actual de la Corte Suprema de los Estados Unidos?,Visite uscis.gov/citizenship/testupdates para saber el nombre del Presidente del Tribunal,"El Presidente del Tribunal Supremo de los Estados Unidos es John Roberts. La respuesta varía porque el puesto se ocupa de por vida, y el actual Presidente del Tribunal Supremo puede cambiar debido a jubilación, renuncia o fallecimiento.","Sonia Sotomayor
Elena Kagan
Amy Coney Barrett"
58,Gobierno estadounidense,Sistema de Gobierno,Nombra un poder que es sólo para el gobierno federal.,"Imprimir dinero, Acuñar monedas, Declarar la guerra, Crear un ejército, Suscribir tratados, Establecer la política exterior","El gobierno federal de los Estados Unidos tiene poderes específicos que no se comparten con los gobiernos estatales. Estos se llaman poderes enumerados, lo que significa que están explícitamente listados en la Constitución. Por ejemplo, solo el gobierno federal puede: * Imprimir papel moneda y acuñar monedas: Esto asegura una moneda uniforme en toda la nación. * Declarar la guerra, crear un ejército y hacer tratados: Estos son cruciales para la defensa nacional y la política exterior. * Establecer la política exterior: Esto permite que EE. UU. actúe como una entidad única en las relaciones internacionales.","Emitir licencias de conducir, Proporcionar escolarización y educación, Proporcionar protección (policía)
Gravar a las personas, Declarar la guerra, Crear un ejército, Hacer tratados, Establecer la política exterior
Proporcionar departamentos de policía y bomberos, Dar una licencia de conducir, Vender una licencia de caza"
59,Gobierno estadounidense,Sistema de Gobierno,Nombra un poder que es sólo para los estados.,"Proveer escuelas y educación, Proveer protección (policía), Proveer seguridad (cuerpos de bomberos), Conceder licencias para conducir, Aprobar la zonificación y uso de la tierra","En el sistema de gobierno estadounidense, los poderes se dividen entre el gobierno federal (nacional) y los gobiernos estatales. Algunos poderes son exclusivos de los estados. Estos incluyen establecer gobiernos locales, crear escuelas, emitir licencias y proporcionar servicios policiales y de bomberos. Estos poderes permiten a los estados abordar las necesidades específicas de sus residentes.","El orden presidencial (para equilibrar el poder), La Declaración de Derechos (para los estados individuales)
Para limitar el poder federal (y aumentar el control estatal), Los Artículos de la Confederación (primera constitución)
Densidad de población (de estados más grandes), El Consentimiento Unánime (de todos los delegados)"
60,Gobierno estadounidense,Sistema de Gobierno,¿Cuál es el propósito de la Décima enmienda?,(Establece que) los poderes no otorgados al gobierno federal pertenecen a los estados o al pueblo.,"La Décima Enmienda refuerza el principio de federalismo, lo que significa que los poderes no otorgados específicamente al gobierno federal por la Constitución, ni prohibidos a los estados, están reservados para los estados o para el pueblo. Esto asegura un equilibrio de poder entre los gobiernos federal y estatal.","(Establece que) los poderes no otorgados al gobierno federal pertenecen al Presidente o a la Corte Suprema.
(Establece que) los poderes no otorgados al gobierno federal pertenecen a las ciudades o a los militares.
(Establece que) los poderes no otorgados al gobierno federal pertenecen a la ONU o a otros países."
61,Gobierno estadounidense,Sistema de Gobierno,¿Quién es el gobernador actual de su estado? *,Las respuestas variarán. [Los residentes del Distrito de Columbia deberán responder que el D.C. no tiene gobernador.],"La respuesta a ""¿Quién es el gobernador actual de su estado?"" variará porque cada uno de los 50 estados de los Estados Unidos tiene su propio gobernador. Los gobernadores son los jefes ejecutivos de sus respectivos estados y son responsables de implementar las leyes estatales y supervisar el poder ejecutivo del gobierno estatal. Sus deberes y poderes específicos pueden diferir de un estado a otro, pero generalmente incluyen firmar proyectos de ley, proponer presupuestos y comandar la Guardia Nacional del estado.","Sarah Chen
David Rodriguez
Emily White"
62,Gobierno estadounidense,Sistema de Gobierno,¿Cuál es la capital de su estado?,Las respuestas variarán. [Los residentes del Distrito de Columbia deberán responder que el D.C. no es un estado y que no tiene capital. Los residentes de los territorios de los Estados Unidos deben dar el nombre de la capital del territorio.],"Antecedentes: En los Estados Unidos, cada estado tiene su propia ciudad capital, que es donde se encuentra el gobierno estatal. Explicación: La respuesta varía porque hay 50 estados diferentes, y cada persona proporcionaría la capital de su estado específico.","George Washington
Abraham Lincoln
John F. Kennedy"
63,Gobierno estadounidense,Derechos y Responsabilidades,Existen cuatro enmiendas a la Constitución sobre quién puede votar. Describa una de ellas.,"Ciudadanos de dieciocho (18) años en adelante (pueden votar)., No se exige pagar un impuesto para votar (el impuesto para acudir a las urnas o «poll tax» en inglés)., Cualquier ciudadano puede votar. (Pueden votar tanto mujeres como hombres), Un hombre ciudadano de cualquier raza (puede votar).","Las Enmiendas 15, 19, 24 y 26 ampliaron el derecho al voto en los EE. UU. para incluir a ciudadanos sin importar su raza, sexo o la capacidad de pagar un impuesto electoral, y redujeron la edad para votar a los 18 años. Cada enmienda amplió progresivamente quiénes podían participar en el proceso democrático.","Solo los ciudadanos de 21 años o más (pueden votar).
Tienes que pagar (un impuesto electoral) para votar.
Solo los ciudadanos varones (pueden votar)."
64,Gobierno estadounidense,Derechos y Responsabilidades,"¿Quién puede votar en las elecciones federales, postularse a un cargo federal y servir en un jurado en los Estados Unidos?","Ciudadanos, Ciudadanos de los Estados Unidos, Ciudadanos de EE. UU.","Explicación: Solo a los ciudadanos de los Estados Unidos se les otorgan los derechos y responsabilidades de votar en elecciones federales, postularse para un cargo federal y servir en un jurado. Antecedentes: Estos derechos y responsabilidades son fundamentales para el sistema democrático estadounidense y están reservados para los ciudadanos a fin de garantizar su participación directa y representación en el gobierno y el sistema judicial.","Residentes Permanentes, Residentes Permanentes Legales, Titulares de la Green Card
No Ciudadanos, Extranjeros, Titulares de Visa
Menores, Niños, Menores de 18 años"
65,Gobierno estadounidense,Derechos y Responsabilidades,¿Cuáles son Tres derechos que pueden ejercer todas las personas que viven en los Estados Unidos?,"Libertad de expresión, Libertad de palabra, Libertad de reunión, Libertad para peticionar al gobierno, Libertad de religión, Derecho a portar armas","Antecedentes: La Constitución de los Estados Unidos garantiza ciertos derechos fundamentales a todas las personas que viven en el país. Estos derechos a menudo se denominan libertades civiles y están protegidos por la ley. Explicación de las respuestas: Estos son ejemplos de libertades básicas que tienen las personas en los EE. UU., lo que les permite expresarse, reunirse pacíficamente, practicar su religión y pedir cambios al gobierno. El derecho a portar armas también es un derecho protegido constitucionalmente.","Libertad para conducir, Libertad para construir, Libertad para viajar
El derecho a poseer un coche, El derecho a tener un trabajo, El derecho a vivir en cualquier lugar
Libertad para votar, Libertad para obtener una educación, Libertad para la atención médica"
66,Gobierno estadounidense,Derechos y Responsabilidades,¿A qué demostramos nuestra lealtad cuando decimos el Juramento de Lealtad (Pledge of Allegiance)? *,"A los Estados Unidos, A la bandera","Antecedentes: El Juramento de Lealtad es una promesa de lealtad a los Estados Unidos. Explicación: Cuando decimos el Juramento de Lealtad, estamos mostrando nuestra lealtad a los Estados Unidos como nación y a su bandera, que simboliza el país y sus valores.","La Constitución, El Presidente
La Casa Blanca, El Congreso
La Corte Suprema, Los estados"
67,Gobierno estadounidense,Derechos y Responsabilidades,Nombra dos promesas que los nuevos ciudadanos hacen en el juramento de lealtad.,"Renunciar a la lealtad a otros países, Defender los (EE. UU.) Constitución, Obedecer las leyes de los Estados Unidos, Prestar servicio en las Fuerzas Armadas de los Estados Unidos (de ser necesario), Prestar servicio a (realizar trabajo importante para) la nación (de ser necesario), Ser leal a los Estados Unidos","Cuando los nuevos ciudadanos toman el Juramento de Lealtad, hacen promesas importantes para mostrar su compromiso con los Estados Unidos. Estas promesas incluyen renunciar a la lealtad a otros países, defender la Constitución de los EE. UU., obedecer las leyes y estar listos para servir a la nación si es necesario.","No votar en las elecciones, Desobedecer la Constitución (de EE. UU.), Ignorar las leyes de los Estados Unidos.
Negarse a servir en el ejército (si es necesario), Evitar servir (ayudar, hacer un trabajo importante para) la nación (si es necesario), Ser desleal a los Estados Unidos.
Mantener lealtad a otros países, No defender la Constitución (de EE. UU.), No obedecer las leyes de los Estados Unidos."
68,Gobierno estadounidense,Derechos y Responsabilidades,¿Cómo convertirse en ciudadano estadounidense?,"Nacer en Estados Unidos bajo las condiciones establecidas en la Enmienda, Por naturalización, Obtener la ciudadanía derivada (bajo las condiciones establecidas por el Congreso)","Para convertirse en ciudadano estadounidense, las personas pueden nacer en los EE. UU. (según la 14.ª Enmienda), pasar por el proceso de naturalización u obtener la ciudadanía a través de un padre, bajo las condiciones establecidas por el Congreso.","Unirse al ejército (y servir por un período determinado)
Casarse con un ciudadano de los Estados Unidos, Ganar una lotería (para la residencia permanente)
Comprar propiedades en los Estados Unidos, Ser dueño de un negocio, Tener un pariente (que sea ciudadano)
Votar en elecciones federales, Pagar impuestos (por un cierto número de años), Asistir a una universidad de los Estados Unidos (y graduarse)"
69,Gobierno estadounidense,Derechos y Responsabilidades,¿Cuáles son dos ejemplos de participación cívica en los Estados Unidos?,"Votar, Postularse a un cargo, Unirse a un partido político, Ayudar con una campaña, Unirse a un grupo cívico, Unirse a un grupo comunitario, Dar su opinión a un funcionario electo (sobre un tema), Contactar funcionarios electos, Apoyar u oponerse a un asunto o político, Escribir a un periódico",La participación cívica se refiere a las formas en que los ciudadanos se involucran en sus comunidades y gobierno. Dos ejemplos comunes incluyen votar en las elecciones y unirse a un partido político para apoyar a candidatos o políticas específicas.,"Pagar impuestos, Seguir las leyes de tránsito, Servir en un jurado
Respetar las creencias de los demás, Ser voluntario en la comunidad, Asistir a la escuela regularmente
Obedecer las leyes, Hacer ejercicio regularmente, Reciclar materiales de desecho"
70,Gobierno estadounidense,Derechos y Responsabilidades,¿Cuál es una de la forma en que los Estadounidenses pueden servir a su país?,"Votar, Pagar impuestos, Obedecer la ley, Servir en el ejército, Postularse a un cargo, Trabajar para el gobierno local, estatal o federal","Servir a su país significa participar activamente en las responsabilidades de la ciudadanía para ayudar a la nación y a su gente. Esto incluye deberes cívicos como votar y obedecer las leyes, así como un servicio más directo, como la participación militar o el trabajo para el gobierno.","No votar, No pagar impuestos, No obedecer la ley
No servir en el ejército, No postularse para un cargo, No trabajar para el gobierno
Ignorar leyes, Evadir impuestos, Faltar el respeto a la autoridad"
71,Gobierno estadounidense,Derechos y Responsabilidades,¿Por qué es importante pagar los impuestos federales?,"Lo exige la ley, El pueblo paga para financiar al gobierno federal, Lo exige la constitución (de EEUU) Constitución (Decimosexta enmienda), Deber cívico","Pagar impuestos federales es un deber cívico y un requisito legal en los Estados Unidos, tal como lo exige la ley y la 16.ª Enmienda de la Constitución de los EE. UU. Estos impuestos financian al gobierno federal y sus operaciones.","No lo exige la ley, Todas las personas pagan para obtener beneficios, No lo exige la Constitución (de EE. UU.) (1.ª Enmienda), No es un deber cívico
Opcional para algunas personas, Solo ciertas personas pagan para financiar al gobierno local, Exigido por la Constitución (de EE. UU.) (1.ª Enmienda), Deber opcional
Contribución voluntaria, Solo las personas de altos ingresos pagan para financiar al gobierno estatal, No se menciona en la Constitución (de EE. UU.), Elección personal"
72,Gobierno estadounidense,Derechos y Responsabilidades,Es importante que todos los hombres de entre 18 y 25 años se registren para el Servicio Selectivo. Mencione una razón por qué.,"Lo exige la ley, Deber cívico, Hace que de ser necesario el servicio militar obligatorio éste sea justo","El Sistema de Servicio Selectivo requiere que casi todos los ciudadanos estadounidenses varones y los inmigrantes varones que viven en los EE. UU. de 18 a 25 años se registren. Este registro es importante porque está estipulado por ley, se considera un deber cívico y ayuda a garantizar un proceso de reclutamiento justo y equitativo si una emergencia nacional lo requiere.","Evitar impuestos, Recibir educación gratuita, Viajar por el mundo
Convertirse en soldado, Obtener un trabajo bien remunerado, Recibir beneficios especiales
Vivir en un nuevo país, Aprender un nuevo idioma, Conocer gente nueva"
73,La historia americana,Período Colonial e Independencia,Los colonizadores llegaron a América por muchas razones. Nombra uno de ellas.,"Libertad, Libertad política, Libertad religiosa, Oportunidad económica, Para huir de la persecución","Los colonos llegaron a América buscando una vida mejor. Sus razones incluyeron: Libertad: La capacidad de vivir y adorar como eligieran sin persecución. Libertad política: El deseo de autogobierno y libertad de un gobierno opresor. Libertad religiosa: Para escapar de la persecución religiosa y practicar su fe libremente. Oportunidad económica: La oportunidad de poseer tierras, encontrar trabajo y mejorar su situación financiera. Escapar de la persecución: Para huir de diversas formas de dificultad e injusticia en sus países de origen.","Impuestos altos, Dominio británico, Falta de tierra
Aventura, Oro, Nuevas rutas comerciales
Exploración, Descubrimiento científico, Difundir la democracia"
74,La historia americana,Período Colonial e Independencia,¿Quiénes vivían en lo que hoy conocemos como los Estados Unidos antes de la llegada de los europeos?*,"Indios americanos, Nativos americanos","Los indios americanos, también conocidos como nativos americanos, eran los pueblos indígenas que habitaban las Américas durante miles de años antes de que comenzara la colonización europea a finales del siglo XV. Desarrollaron diversas culturas, idiomas y sociedades en todo el continente.","Europeos, Colonos
Africanos, Asiáticos
Vikingos, Exploradores"
75,La historia americana,Período Colonial e Independencia,¿Qué grupo de personas fue llevado y vendido como esclavos?,"Africanos, Gente de África","Los africanos fueron sacados a la fuerza de sus hogares y transportados a través del Océano Atlántico para ser vendidos como esclavos, principalmente para trabajar en plantaciones en América. Este brutal sistema, conocido como el comercio transatlántico de esclavos, duró siglos y resultó en un inmenso sufrimiento y la explotación de millones de personas.","Europeos, Gente de Europa
Asiáticos, Gente de Asia
Nativos Americanos, Gente de las Américas"
76,La historia americana,Período Colonial e Independencia,¿En qué guerra lucharon los estadounidenses para obtener su independencia de Gran Bretaña?,"La Guerra de Independencia, La Guerra (estadounidense) de Independencia, Guerra por la Independencia (estadounidense)","La Revolución Americana (1775-1783) fue una guerra librada por las 13 colonias americanas contra Gran Bretaña para obtener la independencia. Los colonos, descontentos con el dominio y los impuestos británicos, declararon su independencia y, con la ayuda de Francia, derrotaron a los británicos, formando los Estados Unidos de América.","La Segunda Guerra Mundial, La Segunda Guerra Mundial, Guerra por la Supremacía (Global)
Guerra Civil, La Guerra Civil (estadounidense), Guerra por la Independencia (sureña)
Guerra Mexicano-Americana, La Guerra (fronteriza) Mexicana, Guerra por la Expansión (Territorial)"
77,La historia americana,Período Colonial e Independencia,Nombra una razón por la cual los estadounidenses declararon la independencia de Gran Bretaña.,"Altos impuestos, Impuestos sin representación, Los soldados británicos se quedaron en las casas de los estadounidenses (alojamiento, acuartelamiento), No tenían autogobierno, Masacre de Boston, Fiesta del té de Boston (Tea Act), Stamp Act (Ley del sello), Sugar Act (Ley del azúcar), Leyes de Townshend, Actos intolerables (coercitivos)","Las colonias americanas declararon su independencia de Gran Bretaña debido a varios agravios. Las razones clave incluyeron ""impuestos sin representación"", lo que significa que fueron gravados por el Parlamento Británico pero no tenían representantes electos allí, lo que llevó a altos impuestos como la Ley del Timbre y la Ley del Azúcar. Los soldados británicos también fueron acuartelados en casas estadounidenses sin consentimiento. Eventos como la Masacre de Boston y el Motín del Té de Boston impulsaron aún más los deseos de autogobierno.","Impuestos bajos, Representación con impuestos, Soldados británicos construyeron casas de estadounidenses (construcción, edificación), Tenían autogobierno, Fiesta del Té de Boston (Ley del Té), Ley del Timbre, Ley del Azúcar, Leyes de Townshend, Actos intolerables (coercitivos)
Sin impuestos, Mucha representación, Soldados británicos salieron de las casas de los estadounidenses (desocupación, mudanza), Tenían autogobierno, Masacre de Boston, Fiesta del Té de Boston (Ley del Té), Ley del Timbre, Ley del Azúcar, Leyes de Townshend, Actos intolerables (coercitivos)
Pocos impuestos, Impuestos con representación, Soldados británicos cocinaron en casas de estadounidenses (catering, cocina), Tenían autogobierno, Fiesta del Té de Boston (Ley del Té), Ley del Timbre, Ley del Azúcar, Leyes de Townshend, Actos intolerables (coercitivos)"
78,La historia americana,Período Colonial e Independencia,¿Quién escribió la Declaración de Independencia?*,(Thomas) Jefferson,"Thomas Jefferson fue el autor principal de la Declaración de Independencia, un documento fundamental en la historia estadounidense que declaró las trece colonias americanas independientes de Gran Bretaña. Fue una figura clave en la Revolución Americana y más tarde se convirtió en el tercer Presidente de los Estados Unidos.","(Benjamín) Franklin
(Jorge) Washington
(Juan) Adams"
79,La historia americana,Período Colonial e Independencia,¿Cuándo se adoptó la Declaración de Independencia?,El 4 de julio de 1776,"La Declaración de Independencia fue una declaración adoptada por el Segundo Congreso Continental reunido en la Casa Estatal de Pensilvania en Filadelfia el 4 de julio de 1776. Anunció que las trece colonias americanas, entonces en guerra con Gran Bretaña, se consideraban a sí mismas como trece estados soberanos recién independizados, y que ya no estaban bajo el dominio británico.","17 de septiembre de 1787
15 de diciembre de 1791
11 de noviembre de 1620"
80,La historia americana,Período Colonial e Independencia,La Revolución de las trece colonias estuvo compuesta por varios acontecimientos de relevancia. Nombre una de ellas.,"(Batalla de) Bunker Hill, Declaración de independencia, Cruce de Washington por el río Delaware (Batalla of Trenton), (Batalla de) Saratoga, (Campamento) Valley Forge, (Batalla de) Yorktown (Rendición de las tropas británicas en Yorktown)",La Revolución Americana fue una guerra librada por la independencia de Gran Bretaña. Los acontecimientos clave incluyen: * Batalla de Bunker Hill: Batalla temprana que muestra la determinación colonial. * Declaración de Independencia: Declaración formal de separación del dominio británico. * Cruce de Washington por el río Delaware (Batalla de Trenton): Un ataque sorpresa que impulsó la moral estadounidense. * Batalla de Saratoga: Un punto de inflexión que trajo el apoyo francés. * Valley Forge (Campamento): Campamento de invierno donde el Ejército Continental enfrentó duras condiciones pero se reagrupó. * Batalla de Yorktown: La batalla decisiva que condujo a la rendición británica.,"(Batalla de) Gettysburg, Ataque a Pearl Harbor, (Batalla de) Antietam
(Fiesta del té de Boston), Proclamación de Emancipación, Ley de Derechos Civiles
(Compra de Luisiana), Expedición de Lewis y Clark, Canal de Panamá"
81,La historia americana,Período Colonial e Independencia,Había 13 estados originales. Nombre Cinco.,"New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland, Virginia, North Carolina, South Carolina, Georgia","Los trece estados originales fueron las primeras colonias en declarar la independencia de Gran Bretaña y formar los Estados Unidos de América. Estos estados son: Nuevo Hampshire, Massachusetts, Rhode Island, Connecticut, Nueva York, Nueva Jersey, Pensilvania, Delaware, Maryland, Virginia, Carolina del Norte, Carolina del Sur y Georgia.","Florida, California, Texas, Illinois, Ohio
Washington, Oregón, Nevada, Arizona, Utah
Colorado, Kansas, Misuri, Arkansas, Luisiana"
82,La historia americana,Período Colonial e Independencia,¿Qué documento patrio se redactó en 1787?,(EE. UU.) Constitución,"La Constitución de los EE. UU. es la ley suprema de los Estados Unidos. Redactada en 1787, estableció el marco para el gobierno federal y garantizó los derechos de los ciudadanos. Describe los poderes de las ramas legislativa, ejecutiva y judicial, y ha sido enmendada con el tiempo para adaptarse a las necesidades cambiantes de la nación.","(Declaración de Derechos)
(Declaración de Independencia)
(Artículos de la Confederación)"
83,La historia americana,Período Colonial e Independencia,"Los escritos conocidos como ""Los Documentos Federalistas"" respaldaron la aprobación de la Constitución de los Estados Unidos. Nombre uno de los autores.","(James) Madison, (Alexander) Hamilton, (John) Jay, Publius","Los Documentos Federalistas fueron una serie de 85 ensayos escritos por James Madison, Alexander Hamilton y John Jay para promover la ratificación de la Constitución de los Estados Unidos. Estos ensayos explicaron y defendieron la Constitución recién redactada, abogando por un gobierno federal fuerte para garantizar la estabilidad y proteger las libertades individuales. Publius fue el seudónimo utilizado por estos tres escritores.","(Thomas) Jefferson, (Benjamin) Franklin, (George) Washington, Sentido Común
(John) Adams, (Paul) Revere, (Samuel) Adams, La Crisis
(Patrick) Henry, (Thomas) Paine, (Alexander) Hamilton, Los Derechos del Hombre"
84,La historia americana,Período Colonial e Independencia,¿Por qué El Federalista es tan importante?,"Ayudó a que las personas comprendan la Constitución (estadounidense)., Fue un apoyo para la sanción de la Constitución (estadounidense).",Los Federalist Papers fueron una serie de ensayos escritos para persuadir a la gente a ratificar la Constitución de los Estados Unidos. Explicaron cómo funcionaría el nuevo gobierno y por qué era importante aprobar la Constitución.,"Ayudaron a la gente a comprender la Declaración de Independencia (de EE. UU.)., Apoyaron la aprobación de los Artículos de la Confederación (de EE. UU.).
Ayudaron a la gente a comprender la Declaración de Derechos (de EE. UU.)., Apoyaron la aprobación de la Proclamación de Emancipación (de EE. UU.).
Ayudaron a la gente a comprender el Compromiso de 1850 (de EE. UU.)., Apoyaron la aprobación de la Ley Kansas-Nebraska (de EE. UU.)."
85,La historia americana,Período Colonial e Independencia,Benjamin Franklin es reconocido por varias cosas. Nombre una de ellas.,"Creó las primeras bibliotecas públicas y gratuitas, Fue el primer Director del correo de Estados Unidos, Colaboró en la redacción de la Declaración de la independencia, Fue un inventor, Fue diplomático estadounidense","Benjamin Franklin fue un polímata estadounidense prominente que fue activo como escritor, científico, inventor, estadista, diplomático, impresor, editor y filósofo político. Es conocido por sus muchas contribuciones a la sociedad estadounidense y su papel en la fundación de los Estados Unidos.

Respuestas:  * Fundó las primeras bibliotecas públicas gratuitas: Franklin estableció la Library Company of Philadelphia en 1731, haciendo los libros accesibles al público.
  * Primer Director General de Correos de los Estados Unidos: Reorganizó el sistema postal, haciéndolo más eficiente.
  * Ayudó a redactar la Declaración de Independencia: Franklin fue uno de los cinco miembros del comité que redactó este documento fundamental.
  * Inventor: Sus inventos incluyen el pararrayos, las gafas bifocales y la estufa Franklin.
  * Diplomático de EE. UU.: Desempeñó un papel crucial en la obtención del apoyo francés para la Guerra de Independencia de los Estados Unidos.","Escribió ""Common Sense"", Negoció la Compra de Luisiana, Lideró el Ejército Continental
Descubrió la electricidad, Inventó el teléfono, Primer Presidente de los Estados Unidos
Firmó la Constitución, Fue autor de la Declaración de Derechos, Comandante del USS Constitution"
